country,2019
Austria,82.2
Belgium,81.4
Bulgaria,73.3
Cyprus,80.8
Czechia,79.5
Germany,81.2
Denmark,81.1
Spain,83.1
Estonia,78
Finland,81.9
France,82.9
Greece,80.9
Croatia,78.7
Hungary,76.6
Ireland,82
Italy,83.1
Lithuania,76.2
Luxemborg,82.9
Latvia,75.9
Malta,82.6
Netherlands,81.7
Poland,78.1
Portugal,81.7
Romania,75.5
Slovakia,77.6
Slovenia,81.4
Sweden,82.8
