country,year,GDP/Capita
Hungary,2015,12700
Ireland,2015,62100
Italy,2015,30200
Lithuania,2015,14300
Luxemborg,2015,105000
Latvia,2015,13800
Malta,2015,24900
Netherlands,2015,45200
Poland,2015,12600
Portugal,2015,19300
Romania,2015,8980
Slovakia,2015,16400
Slovenia,2015,20900
Sweden,2015,51500
Austria,2016,44600
Belgium,2016,41300
Bulgaria,2016,7340
Cyprus,2016,24900
Czechia,2016,18200
Germany,2016,41700
Denmark,2016,54600
Spain,2016,26500
Estonia,2016,17900
Finland,2016,43900
France,2016,37000
Greece,2016,18100
Croatia,2016,12500
Hungary,2016,13000
Ireland,2016,62600
Italy,2016,30700
Lithuania,2016,14800
Luxemborg,2016,108000
Latvia,2016,14200
Malta,2016,25200
Netherlands,2016,45900
Poland,2016,12900
Portugal,2016,19700
Romania,2016,9290
Slovakia,2016,16700
Slovenia,2016,21500
Sweden,2016,52000
Austria,2017,45300
Belgium,2017,41800
Bulgaria,2017,7600
Cyprus,2017,26100
Czechia,2017,19100
Germany,2017,42600
Denmark,2017,55700
Spain,2017,27200
Estonia,2017,19000
Finland,2017,45200
France,2017,37700
Greece,2017,18300
Croatia,2017,13000
Hungary,2017,13600
Ireland,2017,67500
Italy,2017,31200
Lithuania,2017,15700
Luxemborg,2017,107000
Latvia,2017,14800
Malta,2017,27200
Netherlands,2017,47000
Poland,2017,13600
Portugal,2017,20400
Romania,2017,10100
Slovakia,2017,17200
Slovenia,2017,22600
Sweden,2017,52600
Austria,2018,46200
Belgium,2018,42400
Bulgaria,2018,7860
Cyprus,2018,27200
Czechia,2018,19700
Germany,2018,42900
Denmark,2018,56600
Spain,2018,27700
Estonia,2018,19600
Finland,2018,45600
France,2018,38300
Greece,2018,18600
Croatia,2018,13500
Hungary,2018,14400
Ireland,2018,72300
Italy,2018,31600
Lithuania,2018,16400
Luxemborg,2018,106000
Latvia,2018,15600
Malta,2018,27900
Netherlands,2018,47800
Poland,2018,14400
Portugal,2018,21100
Romania,2018,10800
Slovakia,2018,17800
Slovenia,2018,23500
Sweden,2018,53000
Austria,2019,46600
Belgium,2019,43100
Bulgaria,2019,8230
Cyprus,2019,28400
Czechia,2019,20200
Germany,2019,43300
Denmark,2019,57200
Spain,2019,28100
Estonia,2019,20300
Finland,2019,46100
France,2019,38800
Greece,2019,19000
Croatia,2019,14100
Hungary,2019,15100
Ireland,2019,75200
Italy,2019,32100
Lithuania,2019,17200
Luxemborg,2019,107000
Latvia,2019,16100
Malta,2019,28400
Netherlands,2019,48400
Poland,2019,15100
Portugal,2019,21600
Romania,2019,11300
Slovakia,2019,18200
Slovenia,2019,24100
Sweden,2019,53500
